Specification Rule ID,BM,UEFI,Status,Tests,Notes
BDJXQ,Yes,Yes,COVERED,feat001.c,Direct: feat001 checks PARTID disable behavior.
DDGSM,Yes,Yes,COVERED,-,No ACS check required: MSC may implement zero or more resource controls. ACS checks controls only when discovered.
RBCMK,Yes,Yes,COVERED,-,No ACS check required: MSC may implement zero or more monitors. ACS checks monitors only when discovered.
CFXGZ,Yes,Yes,COVERED,reg001.c,Direct: reg001 checks MPAM version EXT bit behavior.
FXVBB,Yes,Yes,COVERED,reg004.c,Direct: reg004 checks MPAM-for-RME feature requirements.
LRZGD,Yes,Yes,COVERED,-,No ACS check required: different MPAM architecture versions may coexist. ACS validates each discovered MSC against its advertised version.
PBSTK,Yes,Yes,COVERED,-,No ACS check required: base memory behavior rules always apply. No separate SYS-MPAM ACS check is required.
KXMHB,Yes,Yes,COVERED,reg004.c,"Indirect: non-secure PARTID space is exercised by ACS. Secure, Realm, and Root spaces cannot be directly validated from Non-secure execution."
CZHSY,,,NOT_COVERED,-,"Not testable: ACS cannot compare the same PARTID across Secure, Non-secure, Root, and Realm PARTID spaces."
RBWRS,,,NOT_COVERED,-,Not testable: ACS cannot access all PARTID spaces to prove each PARTID scope is space-local.
QKQCF,,,NOT_COVERED,-,Not testable: ACS cannot validate Default PARTID 0 across all spaces or non-MPAM requester labeling.
CZSZX,,,NOT_COVERED,-,Not testable: ACS cannot observe non-MPAM requester labeling to prove Default PMG 0 is used.
NVNHD,,,NOT_COVERED,-,"Not testable: requester-generation mechanism is system-wide. ACS cannot prove every PE, SMMU, GIC, and non-PE requester path."
SLJDR,,,NOT_COVERED,-,"Not testable: non-PE requester-generated PARTID space, PARTID, and PMG values are not directly observable by ACS."
VNVMD,,,NOT_COVERED,-,Not testable: non-MPAM requester default/system-specific labeling is not directly controllable or observable by ACS.
SJFGX,Yes,Yes,COVERED,-,No ACS check required: terminating completer has no downstream MPAM propagation to observe. No ACS runtime check is needed.
YPHLH,,,NOT_COVERED,-,Not testable: intermediate forwarding of MPAM information is fabric behavior. ACS cannot observe the downstream bundle directly.
RZCWR,,,NOT_COVERED,-,Not testable: buffered-request MPAM retention is internal. ACS cannot force or inspect a buffered request path.
MRWWK,Yes,Yes,COVERED,-,No ACS check required: conditional cache-internal storage rule. ACS checks observable controls and monitors when present.
XPPBS,Yes,Yes,COVERED,partition001.c,Indirect: cache partition tests exercise MSC response to request MPAM information.
CWTSC,Yes,Yes,COVERED,partition001.c,Indirect: partition tests exercise per-PARTID control lookup from request MPAM information.
JWKJD,,,NOT_COVERED,-,Not testable: cache-line MPAM metadata is internal. ACS cannot inspect the PARTID associated with each line.
SGBFN,,,NOT_COVERED,-,Not testable: cache eviction metadata is internal. ACS cannot prove PARTID preservation from inner to outer cache.
ZTFBQ,Yes,Yes,COVERED,reg001.c,"Indirect: reg001.c is used as a representative simple MMR access test. It uses the common MSC discovery/configuration path, including integrated PE MSCs if discovered."
JGWSM,Yes,Yes,COVERED,reg001.c,"Indirect: reg001.c is used as a representative Non-secure MMR access test. Secure, Realm, and Root PA spaces are not directly accessible to ACS."
LRNPR,Yes,Yes,COVERED,reg005.c,Indirect: reg004/reg005 check visible MPAM-for-RME and four-space capability.
VBHPB,Yes,Yes,COVERED,reg004.c,Indirect: reg004/reg005 cover visible PE/MSC capability; Non-secure traffic exercises Non-secure MPAM_SP propagation.
WZXPM,Yes,Yes,COVERED,reg001.c,Indirect: reg001.c is used as a representative Non-secure MPAM access test. ACS cannot directly observe MPAM_NS signal propagation or Secure-side traffic.
CBBRW,,,NOT_COVERED,-,Not testable: ACS cannot generate Secure traffic or check reserved Secure PARTID-space encodings.
CNQCS,,,NOT_COVERED,-,Not testable: ACS cannot observe 4-to-2 bridge reduction from Root/Realm MPAM_SP to MPAM_NS.
BHHCR,,,NOT_COVERED,-,Not testable: ACS cannot observe whether a 4-to-2 bridge uses static or dynamic reduction.
BSLZQ,,,NOT_COVERED,-,Not testable: ACS cannot observe 2-to-4 bridge expansion from MPAM_NS to MPAM_SP.
WBZST,,,NOT_COVERED,-,Not testable: ACS cannot prove bridge preservation of physical address space and PARTID space.
YWPPT,Yes,Yes,COVERED,-,No ACS check required: design statement for true two-space components. No separate ACS runtime check is needed.
BNKHP,,,NOT_COVERED,-,Not testable: mAP4SPTO2SP is Root PA-space only; Non-secure ACS cannot verify Root-only access.
KFDFD,,,NOT_COVERED,-,Not testable: external mapping register is Root PA-space only; Non-secure ACS cannot verify Root-only access.
XRQHH,,,NOT_COVERED,-,Not testable: ACS cannot observe fixed MPAM_SP to MPAM_NS bridge signal mapping.
